Author-ID,Book-Author
1,Mark P. O. Morford
2,Richard Bruce Wright
3,Carlo D'Este
4,Gina Bari Kolata
5,E. J. W. Barber
6,Amy Tan
7,Robert Cowley
8,Scott Turow
9,David Cordingly
10,Ann Beattie
11,David Adams Richards
12,Adam Lebor
13,Sheila Heti
14,R. J. Kaiser
15,Jack Canfield
16,Loren D. Estleman
17,Robert Hendrickson
18,Julia Oliver
19,John Grisham
20,Toni Morrison
21,The Onion
22,Celia Brooks Brown
23,J. R. Parrish
24,Mary-Kate &amp; Ashley Olsen
25,Robynn Clairday
26,Kathleen Duey
27,Rich Shapero
28,Michael Crichton
29,MICHAEL CRICHTON
30,C.S. Lewis
31,ARTHUR PHILLIPS
32,Stephan Jaramillo
33,Mordecai Richler
34,Eleanor Cooney
35,Charlotte Link
36,Richard North Patterson
37,Mark Salzman
38,Harper Lee
39,LAURA HILLENBRAND
40,Barbara Kingsolver
41,Jo Dereske
42,Jane Austen
43,Dolores Krieger
44,Anne Rivers Siddons
45,Dean R. Koontz
46,Mary Higgins Clark
47,Dean Koontz
48,Patricia Cornwell
49,J.D. Robb
50,Maeve Binchy
51,Laura J. Mixon
52,Tim Lahaye
53,JOHN GRISHAM
54,M.D. Bernie S. Siegel
55,Robert Penn Warren
56,Hans Johannes Hoefer
57,Mark Helprin
58,O. Carol Simonton Md
59,Chuck Hill
60,David Iglehart
61,Larry McMurtry
62,SUZANNE FISHER STAPLES
63,Michel Tournier
64,Carl Sagan
65,Aleksandr Zinoviev
66,Anne Tyler
67,Joseph Conrad
68,Deepak Chopra
69,Thomas Hardy
70,Charles Noland
71,Valerie Frankel
72,Benjamin Hoff
73,Niccolo Machiavelli
74,H. Jackson Brown
75,Robert A. Heinlein
76,PHILIP PULLMAN
77,Anna Sewell
78,MICHAEL ONDAATJE
79,Sandra Levy Ceren
80,P.J. O'Rourke
81,Mike Gayle
82,Stel Pavlou
83,Sarah Payne Stuart
84,Dan Quayle
85,Donald F. Kettl
86,DAVID FRUM
87,Louis Lamour
88,J.D. Salinger
89,J. R. R. Tolkien
90,John Berendt
91,Jennifer Crusie
92,Jane Heller
93,Michael Rips
94,Simon Mawer
95,William Abrahams
96,Robert T. Kiyosaki
97,Ken Follett
98,John F. Love
99,Robert G. Allen
100,LOUIS DE BERNIERES
101,Pam Proctor
102,Mitch Albom
103,Irene Gonzalez Frei
104,Michael Jan Friedman
105,Glendon Swarthout
106,Neal Barrett Jr.
107,David Morrell
108,Sandra Brown
109,James Patterson
110,Stuart Woods
111,IRIS JOHANSEN
112,Dan Brown
113,Joe Hutsko
114,Anita Shreve
115,Ann Rule
116,LEWIS GRIZZARD
117,Paul Theroux
118,Lewis Grizzard
119,Charles Hickey
120,Stephen King
121,Ben Mezrich
122,Bill Hand
123,Tom Clancy
124,DANA REEVE
125,Roy
126,Barbara Metzger
127,Gabriel Garcia Marquez
128,Rebecca Wells
129,Tony Hillerman
130,Robert James Waller
131,Rachel Harris
132,IAN MCEWAN
133,Michael Lewis
134,Richard Zimler
135,Norman Jetmundsen
136,Lorenzo Carcaterra
137,Anne Frasier
138,Kay Hooper
139,Soren Kierkegaard
140,Jose Ortega Y Gaset
141,Daphne Du Maurier
142,Nathaniel Hawthorne
143,Nick Page
144,Laura Wolf
145,LOIS DUNCAN
146,Susan Grant
147,Barbara Vine
148,Shirley Rousseau Murphy
149,Jane Lindskold
150,Betty Smith
151,Cybill Shepherd
152,Stewart O'Nan
153,David Baldacci
154,Douglas Adams
155,Mary Lawson
156,Willa Cather
157,Olivia Goldsmith
158,Helen Fielding
159,Franklin W. Dixon
160,Lilian Jackson Braun
161,Holly Virden
162,H. Norman Wright
163,Piers Anthony
164,RAY BRADBURY
165,Schiller
166,Ray Bradbury
167,Raymond Chandler
168,Paolo Coelho
169,Fay Weldon
170,Arabella Weir
171,Kiana Davenport
172,Sue Townsend
173,Renan Demirkan
174,Michael Moore
175,Jonathan Franzen
176,Jerome D. Salinger
177,James Joyce
178,Joanna Trollope
179,Milan Kundera
180,Arundhati Roy
181,Robert S. Levinson
182,Lorna Landvik
183,Arthur Golden
184,KENT HARUF
185,Patricia D. Cornwell
186,Carol J. Farley
187,Kathleen E. Woodiwiss
188,Belva Plain
189,MARK HADDON
190,ANN BRASHARES
191,Erich Segal
192,Elizabeth Adler
193,Nicholas Sparks
194,JOHN SAUL
195,LORNA LANDVIK
196,Steve Thayer
197,Tracy Chevalier
198,Judith Kelman
199,Michael Palmer
200,Francine Hughes
201,Norman Bridwell
202,Frank McCourt
203,Malachy McCourt
204,Mari Sandoz
205,Anne Perry
206,ALEXANDER MCCALL SMITH
207,Gregory Maguire
208,Yann Martel
209,Ruth Rendell
210,Al Franken
211,DONNA TARTT
212,John Milne
213,Terry Pratchett
214,E. B. White
215,J. M. Barrie
216,Mary O'Hara
217,Louise Rennison
218,Kenneth Grahame
219,Bernard Cornwell
220,Charles de Lint
221,Edward John Moreton Drax Plunkett Dunsany
222,Georgette Heyer
223,OSCAR WILDE
224,Ted Hughes
225,ROALD DAHL
226,Donna Jo Napoli
227,A. S. Byatt
228,Tanuja Desai Hidier
229,SOPHIE KINSELLA
230,Isabel Wolff
231,Louisa May Alcott
232,George Orwell
233,Charles Dickens
234,Isabel Allende
235,Ellen Datlow
236,A.S. BYATT
237,Joseph Heller
238,John Galsworthy
239,Enid Blyton
240,Neil Gaiman
241,Alan Moore
242,Trudy Suggs
243,Tom Wolfe
244,Brady Udall
245,Homer Hickam
246,Pearl Abraham
247,Sebastian Junger
248,Karen Armstrong
249,Mary Barnard
250,David Brin
251,T. Coraghessan Boyle
252,Paul Woodruff
253,Lynda Madaras
254,Stephen McCauley
255,Isabelle Holland
256,Pam Conrad
257,Lurlene McDaniel
258,Brian Kaufman
259,John Darnton
260,Martin Schenk
261,DAVID EDDINGS
262,Paul Reiser
263,David G. Hartwell
264,Dave Barry
265,John R. Holt
266,Theodore Beale
267,Frank M. Robinson
268,Mary Jane Clark
269,Mary Wollstonecraft Shelley
270,Isabel-Clara Simó
271,Robert Westall
272,Robert B. Parker
273,Rita Chapman Works
274,A. Manette Ansay
275,Sarah Waters
276,Anne Frank
277,Barry Lopez
278,Greg Palast
279,Andrea Kane
280,Nevada Barr
281,Paul Auster
282,Margaret Maron
283,EDNA BARKER
284,Muriel Whitaker
285,John Irving
286,Golding
287,HarperReference
288,LTD
289,Ann Patchett
290,Roald Dahl
291,Sue Monk Kidd
292,Bob Thiele
293,Colleen McCullough
294,Joanne Harris
295,Thomas Cahill
296,Michael Hudson
297,Jane Smiley
298,Dick Francis
299,Nora Roberts
300,Jean Marzollo
301,Walter Wick
302,Barbara Delinsky
303,P. D. James
304,Arthur William Upfield
305,Christopher Rice
306,Rex Stout
307,Joan Anderson
308,Vance Havner
309,Warren W. Wiersbe
310,Max Lucado
311,Lawrence J Crabb
312,Barry Neil Kaufman
313,Bob Sjogren
314,Frederick J. Moody
315,Neal Pirolo
316,William Sleator
317,Antoine de Saint-Exupéry
318,Richard Bach
319,Kevin Sullivan
320,Michele Morgan
321,"Scott, Cunningham"
322,David Allen Hulse
323,Richard Webster
324,Bernard King
325,Pat Hutchins
326,William Shakespeare
327,Melissa McClone
328,Cheryl St. John
329,Lewis Carroll
330,Mark Twain
331,Dog Mary Crow
332,Linda Gordon
333,Florence King
334,Alice Sebold
335,Spalding Gray
336,Thomas Harris
337,EDWARD RUTHERFURD
338,Margaret Atwood
339,Dorothy Allison
340,MAYA ANGELOU
341,Edith Wharton
342,Mary Brave Bird
343,John G. Neihardt
344,Roland Warren
345,Johnny Molloy
346,James McCourt
347,Elizabeth Wurtzel
348,Bill Bradley
349,Don Miguel Ruiz
350,Luis Racionero
351,Eugeni Perea Simón
