ISBN,Book-Title,Year-Of-Publication,Author-ID,Book-Author
0195153448,Classical Mythology,2002,1,Mark P. O. Morford
0002005018,Clara Callan,2001,2,Richard Bruce Wright
0060973129,Decision in Normandy,1991,3,Carlo D'Este
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,1999,4,Gina Bari Kolata
0393045218,The Mummies of Urumchi,1999,5,E. J. W. Barber
0399135782,The Kitchen God's Wife,1991,6,Amy Tan
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,2000,7,Robert Cowley
0671870432,PLEADING GUILTY,1993,8,Scott Turow
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,1996,9,David Cordingly
074322678X,Where You'll Find Me: And Other Stories,2002,10,Ann Beattie
0771074670,Nights Below Station Street,1988,11,David Adams Richards
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,2000,12,Adam Lebor
0887841740,The Middle Stories,2004,13,Sheila Heti
1552041778,Jane Doe,1999,14,R. J. Kaiser
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),1998,15,Jack Canfield
1567407781,The Witchfinder (Amos Walker Mystery Series),1998,16,Loren D. Estleman
1575663937,More Cunning Than Man: A Social History of Rats and Man,1999,17,Robert Hendrickson
1881320189,Goodbye to the Buttermilk Sky,1994,18,Julia Oliver
0440234743,The Testament,1999,19,John Grisham
0452264464,Beloved (Plume Contemporary Fiction),1994,20,Toni Morrison
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,1999,21,The Onion
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,2001,22,Celia Brooks Brown
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,2003,23,J. R. Parrish
0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),2000,24,Mary-Kate &amp; Ashley Olsen
0439095026,Tell Me This Isn't Happening,1999,25,Robynn Clairday
0689821166,Flood : Mississippi 1927,1998,26,Kathleen Duey
0971880107,Wild Animus,2004,27,Rich Shapero
0345402871,Airframe,1997,28,Michael Crichton
0345417623,Timeline,2000,29,MICHAEL CRICHTON
0684823802,OUT OF THE SILENT PLANET,1996,30,C.S. Lewis
0375759778,Prague : A Novel,2003,31,ARTHUR PHILLIPS
0425163091,Chocolate Jesus,1998,32,Stephan Jaramillo
3404921038,Wie Barney es sieht.,2002,33,Mordecai Richler
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,2001,34,Eleanor Cooney
3442410665,Sturmzeit. Roman.,1991,35,Charlotte Link
3442446937,Tage der Unschuld.,2000,36,Richard North Patterson
0375406328,Lying Awake,2000,37,Mark Salzman
0446310786,To Kill a Mockingbird,1988,38,Harper Lee
0449005615,Seabiscuit: An American Legend,2002,39,LAURA HILLENBRAND
0060168013,Pigs in Heaven,1993,40,Barbara Kingsolver
038078243X,Miss Zukas and the Raven's Dance,1996,41,Jo Dereske
055321215X,Pride and Prejudice,1983,42,Jane Austen
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,1979,43,Dolores Krieger
0061099686,Downtown,1995,44,Anne Rivers Siddons
0553582909,Icebound,2000,45,Dean R. Koontz
0671888587,I'll Be Seeing You,1994,46,Mary Higgins Clark
0553582747,From the Corner of His Eye,2001,47,Dean Koontz
0425182908,Isle of Dogs,2002,48,Patricia Cornwell
042518630X,Purity in Death,2002,49,J.D. Robb
0440223571,This Year It Will Be Different: And Other Stories,1997,50,Maeve Binchy
0812523873,Proxies,1999,51,Laura J. Mixon
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),2000,52,Tim Lahaye
0440225701,The Street Lawyer,1999,53,JOHN GRISHAM
0060914068,"Love, Medicine and Miracles",1988,54,M.D. Bernie S. Siegel
0156047624,All the King's Men,1982,55,Robert Penn Warren
0245542957,Pacific Northwest,1985,56,Hans Johannes Hoefer
0380715899,A Soldier of the Great War,1992,57,Mark Helprin
0553280333,Getting Well Again,1992,58,O. Carol Simonton Md
0961769947,Northwest Wines and Wineries,1993,59,Chuck Hill
0964778319,An Atmosphere of Eternity: Stories of India,2002,60,David Iglehart
0671623249,LONESOME DOVE,1986,61,Larry McMurtry
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),1991,62,SUZANNE FISHER STAPLES
0679865691,Haveli (Laurel Leaf Books),1995,62,SUZANNE FISHER STAPLES
2070423204,Lieux dits,2002,63,Michel Tournier
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,1978,64,Carl Sagan
0394743741,The yawning heights,1980,65,Aleksandr Zinoviev
042511774X,Breathing Lessons,1994,66,Anne Tyler
0804106304,The Joy Luck Club,1994,6,Amy Tan
1853262404,Heart of Darkness (Wordsworth Collection),1998,67,Joseph Conrad
0312970242,The Angel Is Near,2000,68,Deepak Chopra
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),1997,69,Thomas Hardy
1414035004,The Adventures of Drew and Ellie: The Magical Dress,2003,70,Charles Noland
0060938412,The Accidental Virgin,2003,71,Valerie Frankel
0140067477,The Tao of Pooh,1983,72,Benjamin Hoff
0345465083,Seabiscuit,2003,39,LAURA HILLENBRAND
0451625889,The Prince,1952,73,Niccolo Machiavelli
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),1991,74,H. Jackson Brown
0441783589,Starship Troopers,1987,75,Robert A. Heinlein
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",1988,76,PHILIP PULLMAN
1569871213,Black Beauty (Illustrated Classics),1995,77,Anna Sewell
0375410538,Anil's Ghost,2000,78,MICHAEL ONDAATJE
0966986105,Prescription for Terror,1999,79,Sandra Levy Ceren
087113375X,Modern Manners: An Etiquette Book for Rude People,1990,80,P.J. O'Rourke
0340767936,Turning Thirty,2000,81,Mike Gayle
0743403843,Decipher,2002,82,Stel Pavlou
